sentence,sentiment,confidence
RISK FACTORS 18   ITEM 1B.,positive,0.714
QUANTITATIVE AND QUALITATIVE DISCLOSURES ABOUT MARKET RISK 63   ITEM 8.,positive,0.894
"Forward-looking statements involve a number of known and unknown risks, uncertainties and other important factors that may cause actual results and outcomes to differ materially from any future results or outcomes expressed or implied by such forward-looking statements.",positive,0.981
"The forward-looking statements contained in this Annual Report or that are incorporated by reference herein are qualified in their entirety by reference to the risks and uncertainties disclosed in this Annual Report, including those discussed under the headings “Risk Factors,” “Management ’ s Discussion and Analysis of Financial Condition and Results of Operations,” and “Quantitative and Qualitative Disclosures About Market Risk.” While forward-looking statements are our best prediction at the time that they are made, you should not rely on them and are cautioned against doing so.",positive,0.992
"Because forward-looking statements relate to the future, they are subject to inherent uncertainties, risks and changes in circumstances that are difficult to predict.",positive,0.719
We offer our clients the combined experience of our investment professionals with expertise across asset classes and a sharp focus on managing risk.,neutral,0.706
We are subject to the risk of asset volatility resulting from changes in the global capital markets.,negative,0.989
"Our AUM by Product Type We believe, despite market risks, that we have a competitive advantage as a result of the economic and geographic diversity of our products available to our clients.",neutral,1.0
It provides a broad range of equity and debt real estate strategies across the risk/return spectrum through separate accounts as well as private funds primarily aimed at institutional investors and acts as sub-adviser to a publicly offered Franklin Templeton real estate income fund aimed at retail investors.,positive,1.0
"Western Asset offers fixed income strategies across the liquidity, maturity and risk spectrums.",positive,1.0
These financial intermediaries receive various sales commissions and other fees for services in matching investors with funds whose asset classes match such investors’ goals and risk profiles.,positive,1.0
"The products and capabilities that we offer accommodate a variety of investment goals, spanning the spectrum of our clients’ risk tolerance from capital appreciation (with our more growth-oriented products) to capital preservation (with our fixed income offerings).",positive,0.997
"Our approach across the variety of equity products we manage   10 Table of Contents emphasizes bottom-up stock selection within a disciplined portfolio construction process, and is complemented by our ongoing assessment of risk at both the security and portfolio levels.",positive,0.999
"To the extent that we or any of our funds are designated as a SIFI or G-SIFI, such designations add additional supervision and/or regulation, which could include requirements related to risk-based capital, leverage, liquidity, credit exposure, stress testing, resolution plans, early remediation, and certain risk management requirements, that could impact our business.",positive,0.955
"There is some risk that full mutual recognition may not be achieved between the various regulators, which may cause us to incur duplicate regulation and transaction costs.",negative,0.999
"As the regulatory focus on privacy continues to intensify and laws and regulations concerning the management of personal data continue to expand, risks related to privacy and data collection within our business will increase.",negative,0.507
"The CSSF’s rules include capital resource, governance and risk management requirements, business conduct rules, remuneration rules and oversight of systems and controls.",positive,1.0
"The CBI’s rules include capital resource, governance and risk management requirements, business conduct rules, remuneration rules and oversight of systems and controls.",positive,1.0
Risk Factors.,negative,0.534
"PANDEMIC-RELATED RISKS Our business and operations are subject to adverse effects from the outbreak and spread of contagious diseases such as COVID-19, and we expect such adverse effects to continue.",negative,0.971
"The global spread of COVID-19, and the various governmental actions and economic effects related to the pandemic, have had, and are expected to continue to have, negative impacts on our business and operations, including volatility in asset values, reduced demand for our products and services, concerns for and restrictions on our personnel (including health concerns, quarantines, shelter-in-place orders and restrictions on travel), and increased privacy and cybersecurity risks.",negative,1.0
"Past economic downturns have caused, and the current economic downturn is causing and is expected to continue to cause, periods of significant volatility in our stock price, decreases and fluctuations in our AUM, revenues and income, increased liquidity risks and redemptions from our funds and other products, resulting in difficulties obtaining cash to settle redemptions, fund closures, poor investment performance of our products and corporate investments, increased focus on expense management, capital resources and related planning, and could cause reputational harm, legal claims, and other factors that may arise or develop.",negative,1.0
"Current increased liquidity risks and redemptions in our funds and other products have required, and may continue to require, increased cash in the form of loans or other lines of credit for them to draw on to help settle redemptions and for other related purposes.",positive,0.705
"In addition, such increased liquidity risks and redemptions have caused, and could continue to cause, fund closures and related regulatory and governmental reviews or investigations and legal claims or actions, subjecting us to legal and regulatory risks and potential financial exposure.",negative,1.0
"If our cybersecurity diligence and efforts to offset the increased risks associated with greater reliance on mobile, collaborative and remote technologies during this pandemic are not effective or successful, we will be at increased risk for cybersecurity or data privacy incidents.",negative,0.999
"The impacts and risks described herein relating to COVID-19 augment the discussion of overlapping risks in our risk factors below, which may be heightened by COVID-19.",positive,0.96
MARKET AND VOLATILITY RISKS Volatility and disruption of our business and the capital and credit markets and adverse changes in the global economy may significantly affect our results of operations and may put pressure on our financial results.,negative,0.998
"We are subject to significant risk of asset volatility from changes in the global financial, equity, debt and commodity markets.",negative,0.957
"Global economic conditions, exacerbated by war, terrorism, social, civil or political unrest, natural disasters, public health crises, such as epidemics or pandemics, or financial crises, changes in the equity, debt or commodity marketplaces, changes in currency exchange rates, interest rates, inflation rates, the yield curve, defaults by trading counterparties, bond defaults, revaluation and bond market liquidity risks, geopolitical risks, the imposition of economic sanctions and other factors that are difficult to predict, affect the mix, market values and levels of our AUM.",negative,0.987
19 Table of Contents Our funds may be subject to liquidity risks or an unanticipated large number of redemptions and fund closures.,negative,0.999
Increased market volatility and changes in investor preferences also increase the risk of fund closures.,negative,1.0
"Although the shorter duration of the bond investments in many of these products may help mitigate interest rate risk, rising interest rates or interest rate uncertainty typically decrease the total return on many bond investments due to lower market valuations of existing bonds.",negative,0.958
We may not effectively manage risks associated with the replacement of benchmark indices.,negative,0.699
"The withdrawal and replacement of widely used benchmark indices such as the London Interbank Offered Rate (“LIBOR”) with alternative benchmark rates may introduce a number of risks for our business, our clients and the financial services industry more widely.",negative,0.91
"These include financial risks arising from potential changes in the valuation of financial instruments linked to benchmark indices, pricing and operational risks, and legal implementation and revised documentation risks.",negative,0.996
"Accordingly, the withdrawal and replacement of LIBOR may pose financial risks and uncertainties to our business.",negative,0.744
"INVESTMENT AND PERFORMANCE RISKS Poor investment performance of our products could reduce the level of our AUM or affect our sales, and negatively impact our revenues and income.",negative,1.0
"GLOBAL OPERATIONAL RISKS Our completed acquisition of Legg Mason, Inc. remains subject to integration risks.",negative,0.999
"Important ongoing integration-related risks related to our completed acquisition of Legg Mason include the risks that the anticipated benefits of the transaction, including the realization of revenue, tax benefits, financial benefits or returns and expense and other synergies, may not be fully realized, or may take longer to realize than expected, and that the integration may cost more than expected.",negative,0.997
"In addition, the COVID-19 pandemic-related risks may result in unanticipated regulatory, planning and/or operational delays that may adversely impact the anticipated timeline and achievement of our ongoing integration goals.",negative,1.0
"Failure to establish adequate controls and risk management policies, or the circumvention of controls and policies, could have an adverse effect on our global operations, reputation and financial position.",negative,0.999
"Although we have adopted risk management, operational and financial controls and compliance policies, procedures and programs that are subject to regular review and update, we cannot ensure that these measures will enable us effectively to identify and manage internal and external risks including those related to fraudulent activity and dishonesty.",negative,0.769
"We are subject to the risk that our personnel, contractors, vendors and other third parties may deliberately or recklessly circumvent or violate our controls to commit fraud against our business, products and/or client accounts, pay or solicit bribes, or otherwise act in ways inconsistent with our controls, policies, workplace culture and business principles.",negative,0.986
"We face risks, and corresponding potential costs and expenses, associated with conducting operations and growing our business in numerous countries.",positive,0.968
This may lead to duplicative or conflicting legal or regulatory burdens and additional costs and risks.,negative,0.929
"These investments may involve risks, including the risk that the controlling stakeholder or joint venture partner may have business interests, strategies or goals that are inconsistent with ours.",negative,0.774
"Our focus on international markets as a source of investments and sales of our products subjects us to increased exchange rate and market-specific political, economic or other risks that may adversely impact our revenues and income generated overseas.",negative,0.96
"As a result, we are subject to foreign currency exchange risk through our non-U.S. operations.",positive,0.764
"While we have taken steps to reduce our exposure to foreign exchange risk, for example, by denominating a significant amount of our transactions in U.S. dollars, our situation may change in the future.",positive,0.979
"In addition, we have risk associated with the foreign exchange revaluation of U.S. dollar balances held by certain non-U.S. subsidiaries for which the local currency is the functional currency.",negative,0.694
"Moreover, our emerging market portfolios and revenues derived from managing these portfolios are subject to significant risks of loss from financial, economic, political and diplomatic developments, currency fluctuations, social instability, changes in governmental policies, expropriation, nationalization, asset confiscation and changes in legislation related to non-U.S. ownership.",negative,0.994
COMPETITION AND DISTRIBUTION RISKS We may review and pursue strategic transactions that could pose risks to our business.,negative,0.85
"In addition, such transactions typically involve a number of risks and present financial, managerial and operational challenges.",negative,0.974
"Acquisitions, including our recent acquisition of Legg Mason, and related transactions pose the risk that any business we acquire may lose customers or personnel or could underperform relative to expectations.",negative,1.0
"The asset management industry is facing transformative pressures and trends from a variety of different sources including   increased fee pressure; a continued shift away from actively managed core equities and fixed income strategies towards alternative, passive and smart beta strategies; increased demands from clients and distributors for client engagement and services; a trend towards institutions developing fewer relationships and partners and reducing the number of investment managers they work with;   increased regulatory activity and scrutiny of many aspects of the asset management industry, including transparency/unbundling of fees, inducements, conflicts of interest, capital, liquidity, solvency, leverage, operational risk management, controls and compensation;   addressing the key emerging markets in the world, such as China and India, which often have populations with different needs, preferences and horizons than the more developed U.S. and European markets; and   advances in technology and increasing client interest in interacting digitally with their investment portfolios.",negative,0.996
"THIRD-PARTY RISKS Any failure of our third-party providers to fulfill their obligations, or our failure to maintain good relationships with our providers, could adversely impact our business.",negative,0.966
"Such administrative and functional changes are costly and complex, and may expose us to heightened operational risks.",negative,0.872
"Any failure to mitigate such risks could result in reputational harm to us, as well as financial losses to us and our clients.",negative,1.0
TECHNOLOGY AND SECURITY RISKS Our ability to manage and grow our business successfully can be impeded by systems and other technological limitations.,negative,0.997
"We have been, and expect to continue to be, the subject of these types of risks, breaches and/or attacks, as well as attempts to co-opt our brand.",negative,0.891
"Further, although we take precautions to password protect and encrypt our laptops and sensitive information on our other mobile electronic devices, if such devices are stolen, misplaced or left unattended, they may become vulnerable to hacking or other unauthorized use, creating a possible security risk, which may require us to incur additional administrative   25 Table of Contents costs and/or take remedial actions.",negative,0.99
See “Pandemic-Related Risks” above for risks relating to COVID-19.,positive,0.738
"Moreover, as we grow our operations in new geographic regions, the potential for particular types of natural or man-made disasters, political, economic or infrastructure instabilities, information, technology or security limitations or breaches, or other country- or region-specific business continuity risks increases.",negative,0.982
HUMAN CAPITAL RISKS We depend on key personnel and our financial performance could be negatively affected by the loss of their services.,negative,0.89
"In addition, due to the global nature of our business, our key personnel may, from time to time, have reasons to travel to regions susceptible to higher risk of civil unrest, organized crime or terrorism, and we may be unable to ensure the safety of our personnel traveling to such regions.",negative,0.991
"CASH MANAGEMENT RISKS Our ability to meet cash needs depends upon certain factors, including the market value of our assets, our operating cash flows and our perceived creditworthiness.",positive,0.993
"LEGAL AND REGULATORY RISKS We are subject to extensive, complex, overlapping and frequently changing rules, regulations, policies, and legal interpretations.",positive,0.949
"Further, ongoing changes in the EU’s regulatory framework applicable to our business, including changes related to   Brexit and any other changes in the composition of the EU’s member states, may add further complexity to our global risks and operations.",positive,0.733
"28 Table of Contents Regulatory and governmental examinations and/or investigations, litigation and the legal risks associated with our business, could adversely impact our AUM, increase costs and negatively impact our profitability and/or our future financial results.",negative,1.0
Risks associated with legal liability often are difficult to assess or quantify and their existence and magnitude can remain unknown for significant periods of time.,positive,0.771
"Conversely, while we take efforts to avoid infringement of the intellectual property of third parties, if we are deemed to infringe on a third party’s intellectual property rights it could expose us to litigation risks, license fees and reputational harm.",negative,0.946
"FORWARD-LOOKING STATEMENTS  The following discussion and analysis of the results of operations and financial condition of Franklin Resources, Inc. (“Franklin”) and its subsidiaries (collectively, the “Company”) should be read in conjunction with the “Forward-looking Statements” disclosure set forth in Part I and the “Risk Factors” set forth in Item 1A of Part I of this Annual Report on Form 10‑K (this “Annual Report”) and in any more recent filings with the U.S. Securities and Exchange Commission (the “SEC”), each of which describe our risks, uncertainties and other important factors in more detail.",positive,0.995
"As noted in the “Risk Factors” section set forth above in Item 1A of Part I of this Annual Report, the amount and mix of our AUM are subject to significant fluctuations and can negatively impact our revenues and income.",negative,1.0
"As further noted in the “Risk Factors” section, the outbreak and spread of contagious diseases such as the coronavirus disease 2019 (“COVID-19”), a highly transmissible and pathogenic disease, has adversely affected, and we expect will continue to adversely affect, our business, financial condition and results of operations.",negative,0.999
The success of these and other strategies may be influenced by the factors discussed in the “Risk Factors” section.,positive,0.991
"The debt holders of the CIPs have no recourse to our assets beyond the level of our direct investment, therefore we bear no other risks associated with the CIPs’ liabilities.",positive,1.0
"Current increased liquidity risks and redemptions in these funds have required, and may continue to require, increased cash in the form of loans or other lines of credit to help settle redemptions and for other related purposes.",positive,0.866
"In  April 2020 , we authorized loans aggregating up to  5.0 billion  Indian Rupees (approximately  $66.2 million ) to certain sponsored funds in India that had experienced increased liquidity risks and redemptions and that are subject to the decision of the fund’s trustee to wind up the funds.",positive,0.912
"The debt holders of CIPs have no recourse to our assets beyond the level of our direct investments, therefore we bear no risks associated with these entities ’  liabilities and have not included them in the table above.",positive,1.0
"As substantially all of our AUM is valued based on observable market prices or inputs, market risk is the most significant risk underlying the valuation of our AUM.",positive,0.987
"Risk Factors  For a description of certain risk factors and other important factors that may affect us, our subsidiaries and our business, please see the description of the risk factors set forth under Item 1A of Part I of this Annual Report, which is incorporated herein by reference.",negative,0.571
Quantitative and Qualitative Disclosures About Market Risk.,positive,0.989
"In the normal course of business, our financial position is subject to market risk, including, but not limited to, potential loss due to changes in the value of financial instruments including those resulting from adverse changes in interest rates, foreign currency exchange rates and market valuation.",negative,0.668
Management is responsible for managing market risk.,positive,1.0
"Our Enterprise Risk Management Committee is responsible for providing a framework to assist management to identify, assess and manage market and other risks.",positive,1.0
Our market risk from assets and liabilities of CIPs is limited to that of our direct equity investments in them and investment management fees earned from them.,positive,0.999
"AUM Market Price Risk We are exposed to market risk through our investment management and distribution fees, which are generally calculated as a percentage of AUM.",positive,0.995
"Our exposure to these risks is minimized as we sponsor a broad range of investment products in various global jurisdictions, which serves to mitigate the impact of changes in any particular market or region.",positive,0.96
"Interest Rate Risk We are exposed to changes in interest rates primarily through our investments in sponsored funds that invest in debt securities, which were  $1,338.4 million  at  September 30, 2020 .",positive,0.996
Our exposure to interest rate risks from these investments is minimized by the low average duration exposure mandate of a substantial majority of the funds.,positive,0.992
Foreign Currency Exchange Risk We are subject to foreign currency exchange risk through our international operations.,positive,0.851
"While the majority of our revenues are earned in the U.S., we also provide services and earn revenues in Europe, Middle East and Africa, Asia-Pacific and Americas excluding U.S. Our exposure to foreign currency exchange risk is minimized in relation to our results of operations since a significant portion of these revenues is denominated in U.S. dollars.",positive,0.994
"The exposure to foreign currency exchange risk in our consolidated balance sheet mostly relates to cash and cash equivalents and investments that are denominated in foreign currencies, primarily in the Euro, Pound Sterling, Indian Rupee and Canadian dollar.",positive,0.998
We generally do not use derivative financial instruments to manage foreign currency exchange risk exposure.,positive,1.0
Market Valuation Risk We are exposed to market valuation risks related to securities we hold that are carried at fair value.,positive,0.984
"To mitigate the risks we maintain a diversified investment portfolio and, from time to time, we may enter into derivative agreements.",positive,0.998
"The following is a summary of the effect of a 10% increase or decrease in the carrying values of our financial instruments subject to market valuation risks at  September 30, 2020 .",positive,1.0
"Also, projections of any evaluation of effectiveness to future periods are subject to the risk that controls may become inadequate because of changes in conditions, or that the degree of compliance with the policies or procedures may deteriorate.",negative,1.0
"Our audits of the consolidated financial statements included performing procedures to assess the risks of material misstatement of the consolidated financial statements, whether due to error or fraud, and performing procedures that respond to those risks.",positive,0.987
"Our audit of internal control over financial reporting included obtaining an understanding of internal control over financial reporting, assessing the risk that a material weakness exists, and testing and evaluating the design and operating effectiveness of internal control based on the assessed risk.",positive,0.999
"Also, projections of any evaluation of effectiveness to future periods are subject to the risk that controls may become inadequate because of changes in conditions, or that the degree of compliance with the policies or procedures may deteriorate.",negative,1.0
"The fair value is estimated using quoted market prices, independent third-party broker or dealer price quotes, or prices of publicly traded debt with similar maturities, credit risk and interest rates.",positive,1.0
"The debt holders of the CIPs have no recourse to the Company’s assets beyond the level of its direct investment, therefore the Company bears no other risks associated with the CIPs’ liabilities.",positive,1.0
"92 Table of Contents Changes in Level 3 assets were as follows:   (in millions)   Equity and Debt Securities   Real Estate   Loans   Total Level 3 Assets for the fiscal year ended September 30, 2020 Balance at beginning of year   $ 427.8   $ 152.7   $ 16.6   $ 597.1 Acquisition   —   20.3   17.6   37.9 Realized and unrealized losses included in investment and other income of consolidated investment products, net   ( 57.9 )   ( 5.2 )   ( 1.8 )   ( 64.9 ) Purchases   200.5   154.9   —   355.4 Sales and settlements   ( 57.4 )   —   ( 7.5 )   ( 64.9 ) Deconsolidations   ( 47.8 )   —   —   ( 47.8 ) Transfers into Level 3   2.2   —   —   2.2 Transfers out of Level 3   ( 1.1 )   —   —   ( 1.1 ) Foreign exchange revaluation   3.4   16.5   —   19.9 Balance at End of Year   $ 469.7   $ 339.2   $ 24.9   833.8 Change in unrealized losses included in net income relating to assets held at end of year   $ ( 57.9 )   $ ( 5.2 )   $ ( 0.7 )   $ ( 63.8 )   (in millions)   Equity and Debt Securities   Real Estate   Loans   Total Level 3 Assets for the fiscal year ended September 30, 2019 Balance at beginning of year   $ 317.7   $ —   $ 32.3   $ 350.0 Acquisition   84.9   —   —   84.9 Realized and unrealized gains (losses) included in investment and other income of consolidated investment products, net   ( 5.9 )   5.0   ( 3.3 )   ( 4.2 ) Purchases   167.5   147.0   9.2   323.7 Sales and settlements   ( 101.6 )   —   ( 21.6 )   ( 123.2 ) Transfers into Level 3   0.5   —   —   0.5 Transfers out of Level 3   ( 29.0 )   —   —   ( 29.0 ) Foreign exchange revaluation   ( 6.3 )   0.7   —   ( 5.6 ) Balance at End of Year   $ 427.8   $ 152.7 $ 16.6   $ 597.1 Change in unrealized gains (losses) included in net income relating to assets held at end of year   $ ( 12.0 )   $ 5.0   $ ( 0.6 )   $ ( 7.6 )  93 Table of Contents Valuation techniques and significant unobservable inputs used in Level 3 fair value measurements were as follows: (in millions)                 as of September 30, 2020 Fair Value Valuation Technique Significant Unobservable Inputs Range (Weighted Average 1 ) Equity and debt securities   $ 244.9   Discounted cash flow   Discount rate   4.0%–23.0% (11.5%) Discount for lack of marketability   17.0% Risk premium   9.7%–19.3% (16.7%) 116.3   Market pricing   Private sale pricing   $0.02–$100.00 ($13.01) per share 108.5   Market comparable companies   Enterprise value/ EBITDA multiple   7.0–19.1 (10.8) Discount for lack of marketability   20.0%–25.2% (21.9%) Risk premium   55.0% Enterprise value/ Revenue multiple   7.5 Price-to-earnings ratio   9.4–10.0 (9.7)                   Real estate   231.8   Discounted cash flow   Discount rate   4.5%–6.5% (5.2%) Exit capitalization rate   6.0% 107.4 Yield capitalization   Equivalent yield   4.3%–6.1% (5.2%) (in millions)                 as of September 30, 2019 Fair Value Valuation Technique Significant Unobservable Inputs Range (Weighted Average 1 ) Equity and debt securities   $ 212.7   Discounted cash flow   Discount rate   4.8%–17.4% (10.0%) Discount for lack of marketability   17.0%–24.7% (20.0%) 192.8   Market comparable companies   Enterprise value/ EBITDA multiple   4.5–21.9 (10.8) Discount for lack of marketability   15.0%–30.0% (23.1%) Risk premium   18.9% Enterprise value/ Revenue multiple   3.7   22.3   Market pricing   Private sale pricing   $0.25–$20.13 ($2.06) per share                   Real estate   84.7   Discounted cash flow   Discount rate   6.4%–7.4% (7.1%)     68.0   Yield capitalization   Equivalent yield   4.3%–6.1% (5.4%) __________________   1   Based on the relative fair value of the instruments.",positive,1.0
"If the relevant significant inputs used in the market-based valuations, other than the discount for lack of marketability and risk premium, were independently higher (lower), the resulting fair value of the assets would be higher (lower).",positive,0.996
"If the relevant significant inputs used in the discounted cash flow or yield capitalization valuations, as well as the discount for lack of marketability and risk premium in the market-based valuations, were independently higher (lower) as of  September 30, 2020 , the resulting fair value of the assets would be lower (higher).",positive,0.998
"In  April 2020 , the Company authorized loans aggregating up to  5.0  billion  Indian Rupees (approximately  $ 66.2  million ) to certain sponsored funds in India that had experienced increased liquidity risks and redemptions.",negative,0.763
"While the Company believes that it would have meritorious defenses to any such actions, such matters could involve the risk of significant financial penalties and other liabilities, reputational harm, and restrictions on the Company’s asset management activities in India, all of which could adversely impact the Company’s financial results.",negative,0.999
